"","fname_c1","lname_c1","by","bm","bd"
"1","CARSTEN","MEIER",1949,7,22
"2","GERD","BAUER",1968,7,27
"3","ROBERT","HARTMANN",1930,4,30
"4","STEFAN","WOLFF",1957,9,2
"5","RALF","KRUEGER",1966,1,13
"6","JUERGEN","FRANKE",1929,7,4
"7","GERD","SCHAEFER",1967,8,1
"8","UWE","MEIER",1942,9,20
"9","DANIEL","SCHMIDT",1978,3,4
"10","MICHAEL","HAHN",1971,2,27
"11","PETER","JUNG",1988,1,9
"12","MANFRED","HOFFMANN",1933,8,25
"13","MICHAEL","FISCHER",1951,7,1
"14","MANFRED","BECKER",1973,7,27
"15","WALTER","SCHNEIDER",1953,8,26
"16","MARTIN","SCHROEDER",1988,2,3
"17","ALEXANDER","MUELLER",1974,9,9
"18","HANS","SCHAEFER",2003,6,22
"19","STEFAN","MUELLER",1949,8,13
"20","GERHARD","SCHAEFER",1964,4,29
"21","DENNIS","SCHAEFER",1956,4,11
"22","THORSTEN","KLEIN",1966,9,20
"23","PETER","BRANDT",1997,4,1
"24","WALTER","FISCHER",1997,4,7
"25","MATTHIAS","HAAS",1955,7,8
"26","WOLFGANG","WOLF",1961,12,28
"27","BENJAMIN","MUELLER",1997,4,19
"28","JAN","SCHAEFER",1946,5,25
"29","PETER","WINTER",1958,8,18
"30","SVEN","BRAUN",1994,1,22
"31","WOLFGANG","LEHMANN",1971,1,3
"32","CHRISTIAN","SCHULZ",2008,5,18
"33","ANDREAS","SCHUMACHER",1928,7,7
"34","HEINZ","BOEHM",1938,12,20
"35","HARALD","BECKER",1951,2,24
"36","KURT","SCHMIDT",1998,4,27
"37","HARTMHUT","HOFFMSNN",1929,12,29
"38","HORST","ENGEL",1999,2,27
"39","DIETER","NEUMANN",1994,6,20
"40","WOLFGANG","SCHMITT",1986,11,29
"41","SVEN","SCHUMACHER",2008,2,27
"42","DIETER","WEISS",1945,1,10
"43","GERD","BAUERH",1968,7,27
"44","THORSTEN","HARTMANN",1935,3,11
"45","FRIEDRICH","PETERS",1954,10,16
"46","HERMANN","MAIER",1999,10,12
"47","HELMUT","MUELLER",1930,7,30
"48","WERNER","KOERTIG",1965,11,28
"49","WOLFGANG","SEIDEL",1974,2,5
"50","STEFAN","MUELLER",1957,6,7
"51","DIETER","WINTER",2000,8,20
"52","HOLGER","SCHNEIDER",1931,4,2
"53","JUERGEN","SCHMIDT",1956,7,23
"54","THORSTEN","WEBER",1965,11,21
"55","JENS","SCHMIDT",1961,1,10
"56","PETER","ZIMMERMANN",1996,2,10
"57","MARTIN","HERRMANN",1944,8,13
"58","FRANK","MUELLDR",1978,5,20
"59","BERND","JUNG",1935,1,14
"60","THORSTEN","FUCHS",1952,9,27
"61","ANDRE","FISCHER",1943,6,25
"62","SIEGFRIED","BRANDT",1982,2,14
"63","DIETER","BOEHM",1972,7,1
"64","JUERGEN","MEIER",1983,7,7
"65","OTTO","WERNER",1926,4,12
"66","KARL","WEBER",1934,10,14
"67","GERHARD","MEYER",1959,12,3
"68","PETEVR","FUCHS",1972,9,12
"69","GUENTHER","ZIMMERMANN",1999,1,19
"70","PETER","SCHULZ",1927,7,19
"71","CHRISTIAN","GROSS",1959,4,7
"72","HARTMUT","HOFFMANN",1929,12,29
"73","JUERGEN","MUELLER",1946,11,22
"74","JOHANNES","MUELLER",1963,12,16
"75","KARL","KAISER",1966,9,12
"76","ANDREAS","ZIEGLER",1964,5,5
"77","HOLGER","FISCHER",1984,4,15
"78","STEFAN","BRAUN",1997,12,30
"79","ANDREAS","KUEHN",1950,11,2
"80","HORST","KRAUSE",1946,8,28
"81","MANFRED","KLEIN",1969,8,3
"82","FRANK","SCHMIDT",2003,6,13
"83","STEFAN","SCHULZ",2001,9,12
"84","BERND","SEIDEL",2007,2,16
"85","THORSKTEN","MARTIN",1995,11,15
"86","GERHARD","MEYER",1941,11,25
"87","HANS","SCHULZE",1972,11,27
"88","KARL","HOFFMANN",1944,10,21
"89","DETLEF","SCHMIDT",1937,4,6
"90","MICHAEL","SCHAEFER",1991,5,30
"91","ANDREAS","MAYER",1959,12,24
"92","HEINZ","LEHMANN",1948,9,25
"93","MARTIN","KUEHN",1959,10,8
